Split,Model,MAE,RMSE,R2,MAPE(%)
80:20,Model A (Cuaca),0.9496551525728665,2.1784297581904144,0.9560828398382084,8.87031776726197
80:20,Model B (Tanpa Cuaca),1.0933043162743263,2.362639159223349,0.94834148435425,10.517296133334497
80:20,Model C (Top 10),1.1103464705022024,2.3503256113001356,0.9488785464790217,10.62838934384479
80:20,Model D (Input Minimal),1.3172792441226615,2.6669388979776514,0.9341776689020327,12.813252061167518
70:30,Model A (Cuaca),0.970713485079766,2.2840471022654074,0.9524211356911835,9.142359203982933
70:30,Model B (Tanpa Cuaca),1.1058202959819385,2.4049787899994355,0.9472495145209853,10.782081665133127
70:30,Model C (Top 10),1.126041662665233,2.3894926640239396,0.9479266685779697,10.822136098473138
70:30,Model D (Input Minimal),1.3451611650730086,2.943307577255885,0.9209912380209171,12.984415412630595
90:10,Model A (Cuaca),0.8942542173668748,1.9103822826526424,0.9656954640169756,8.61512850733486
90:10,Model B (Tanpa Cuaca),1.0335946015386555,2.0646998132186596,0.9599294943519616,10.290003077448953
90:10,Model C (Top 10),1.0622230758587972,2.0300988904280746,0.9612612704750723,10.350449620943987
90:10,Model D (Input Minimal),1.2501160995712173,2.5201569039782443,0.9403011250039456,12.29938750759188
